startdatetime,enddatetime,startdate,enddate,starttime,endtime,OC,EC,TC,SOC,chlorine,nitrate,sulfate,Na,ammonia,potassoium,Mg,Ca,Li,Be,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi
2016/5/15 9:48,2016/5/16 8:32,2016/5/15,2016/5/16,9:48,8:32,4.918083201,1.770080191,6.688163392,1.125510662,0.206326582,0.640194086,0.852850754,0.098108246,0.156647396,0.008272635,0.011624879,0.080411759,0.359275142,,0.053891271,12.23845109,0.359275142,2.461034722,16.79354663,0.082120032,0.872525345,9.659368816,77.73430946,0.166806316,0.649261507,0.364407644,0.674924017,2.065832066,,0.415732664,0.069288777,11.34026323,0.084686283,52.24630439,0.384937652
2016/5/16 8:42,2016/5/17 8:40,2016/5/16,2016/5/17,8:42,8:40,5.574556599,1.895553067,7.470109666,1.513145967,0.184917362,2.868856147,2.604178467,0.165453706,1.054087016,0.028449539,0.046139372,0.535379718,0.243419081,,,2.066627997,,2.322218032,9.90228821,0.104670205,0.472233017,5.798242506,36.22319342,0.345655095,1.095385864,0.895782218,0.669402472,0.766770105,,0.640192183,0.082762487,5.715480019,0.163090784,37.47923588,0.435720155
2016/5/17 8:48,2016/5/18 8:30,2016/5/17,2016/5/18,8:48,8:30,6.492662709,2.44505433,8.937717038,1.253891067,0.117171195,3.149016902,6.744236158,0.202891737,2.304739291,0.152741748,0.04768761,0.335210473,0.349544322,,0.022154218,11.62604109,0.475084889,1.085556663,12.70913617,0.086155291,0.65231863,10.1786322,45.68938146,0.270773771,1.969263788,0.952631357,0.787705515,2.328654429,,0.750781819,0.086155291,9.93493581,0.142771625,39.77912852,0.408622236
2016/5/18 8:37,2016/5/19 8:10,2016/5/18,2016/5/19,8:37,8:10,7.402626684,2.823628882,10.22625557,1.35272148,0.19619888,6.376215876,9.541822049,0.065697969,2.654485179,0.119147091,0.034699778,0.357099618,0.636655457,0.002477259,0.064408723,13.12947051,1.996670421,2.184942073,19.81063692,0.17588536,1.558195651,33.1209473,93.27126305,0.418656701,3.113914043,2.043738334,2.001624938,2.655621205,0.039636137,1.644899702,0.282407479,10.18153279,0.374066047,102.5783236,0.696109663
2016/5/19 8:19,2016/5/20 8:47,2016/5/19,2016/5/20,8:19,8:47,6.428974464,2.440814063,8.869788527,1.199288015,0.185748325,9.379137935,9.610906063,0.180384786,3.9761339,0.148155103,0.056253142,0.393206304,0.586573658,0.004768892,0.050073361,14.72872149,2.847028243,3.602897551,19.78136207,0.178833432,1.836023239,15.90425325,58.15901665,0.286133492,2.036316683,1.907556612,1.211298449,3.097395049,,0.972853872,0.162142312,11.30704182,0.250366805,60.64599359,0.650953694
2016/5/20 8:57,2016/5/21 9:17,2016/5/20,2016/5/21,8:57,9:17,6.275997091,2.057703964,8.333701055,1.867162063,0.204667541,10.01472404,11.14259323,0.280427962,5.018776494,0.169382517,0.055667294,0.197980138,0.462719666,,0.009590045,6.924012407,4.8285876,,18.00530927,0.148645696,2.327983396,18.42247622,65.76613031,0.43155202,2.747547859,2.455051491,1.345003795,1.31623366,0.040757691,1.107650184,0.198993431,8.161128197,0.381204284,80.40773134,0.587390249
2016/5/21 9:25,2016/5/22 8:25,2016/5/21,2016/5/22,9:25,8:25,6.403539823,1.919469027,8.32300885,2.290886873,0.099599797,3.563778817,6.616707063,0.226549121,2.430759247,0.121175065,0.054776966,0.338224164,0.801533172,,0.063412434,13.98878304,3.551096331,4.020348346,23.49811172,0.251113241,2.285384138,17.44602897,114.0941886,0.672171805,6.151006144,3.185840708,1.62589482,2.572008342,0.053266445,1.94549349,0.230821261,9.230313962,0.479398005,127.5300152,0.994306973
2016/5/22 8:40,2016/5/23 10:08,2016/5/22,2016/5/23,8:40,10:08,6.193311866,2.498424686,8.691736552,0.840188937,0.672201686,4.447542313,5.410983034,0.219413883,2.553053055,0.202236532,0.051777795,0.222746942,1.0217038,0.004581631,0.169520361,30.15629782,1.919703553,3.186524633,28.19994121,0.375693774,1.644805669,28.42902278,120.0410333,0.838438545,12.41393025,3.614907168,2.217509593,5.353636281,0.068724471,3.598871458,0.279479515,19.99882102,0.49481619,171.0735345,1.489030202
2016/5/23 10:15,2016/5/24 8:08,2016/5/23,2016/5/24,10:15,8:08,4.068316158,1.238911093,5.307227251,1.413826144,0.127875786,4.844439537,4.357907271,0.133418911,2.088154036,0.040649377,0.017824538,0.055318211,0.975730462,0.013329651,0.143960232,22.28451074,1.356958484,3.788286847,24.91311794,0.293252325,1.359624414,24.44391422,111.1452969,0.83177023,4.987955447,1.775509529,1.802168831,4.737358006,0.010663721,1.652876738,0.207942557,16.38480715,0.386559882,114.389734,0.83710209
2016/5/24 8:14,2016/5/25 8:41,2016/5/24,2016/5/25,8:14,8:41,3.009392475,0.581899126,3.591291601,1.762615828,0.021315569,0.507119656,1.523506432,0.119136716,0.331987844,0.005830519,0.014885495,0.155079395,0.45573959,,0.052493565,22.08070246,0.713435275,0.460511733,12.41234214,0.176569265,0.861371687,17.48035727,36.43769259,0.214746404,4.015757752,0.663327781,0.672872065,2.421862221,,0.472442088,0.073968206,10.30544131,0.066809992,30.52023613,0.221904617
