,OC,EC,OC/EC,TC,SOC,chlorine,nitrate,sulfate,Na,ammonia,potassoium,Mg,Ca,Li,Be,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi,PM2.5
0,5.38±1.38,1.68±0.67,3.6±1.41,7.06±1.96,1.85±0.84,0.21±0.19,3.98±4.16,4.97±4.42,0.15±0.06,1.88±1.72,0.08±0.07,0.03±0.02,0.23±0.13,0.6±0.38,0.02±0.03,0.08±0.07,16.7±16.05,1.45±1.21,2.47±1.4,16.42±9.02,0.18±0.19,1.0±0.63,18.58±13.51,85.75±107.08,0.38±0.23,3.16±3.02,1.34±0.91,1.24±0.74,2.65±1.59,0.05±0.03,1.13±0.88,0.16±0.1,9.79±4.02,0.25±0.16,64.1±40.78,0.5±0.33,23.75±13.06
1,4.77±1.3,1.92±0.74,2.8±1.06,6.69±1.8,2.39±1.0,0.16±0.13,3.84±3.75,6.12±5.4,0.21±0.06,2.45±2.11,0.09±0.07,0.03±0.02,0.13±0.08,0.29±0.13,0.01±0.0,0.04±0.03,5.57±3.42,0.7±0.58,1.99±1.65,10.68±4.18,0.1±0.12,0.75±0.53,10.88±6.87,54.9±34.05,0.27±0.14,1.96±1.36,1.37±0.79,0.85±0.4,1.08±0.55,0.06±0.04,0.8±0.54,0.13±0.07,5.62±2.34,0.19±0.1,56.0±29.94,0.42±0.21,25.4±13.0
2,9.31±5.33,4.0±2.15,2.48±0.75,13.31±7.13,4.53±3.63,1.76±1.34,15.55±13.51,7.87±6.57,0.4±0.12,6.21±4.58,0.44±0.31,0.07±0.04,0.26±0.15,0.62±0.29,0.01±0.01,0.09±0.02,7.74±3.25,0.63±0.33,2.32±1.58,22.71±11.12,0.16±0.08,1.06±0.47,17.11±8.8,107.41±61.27,0.73±0.49,5.93±5.84,2.45±1.8,1.67±0.97,1.58±0.7,0.13±0.09,1.9±1.27,0.24±0.16,9.01±3.22,0.49±0.3,133.55±88.73,0.87±0.57,54.77±39.21
3,21.56±12.57,5.06±2.87,4.26±0.86,26.63±15.29,9.61±6.42,2.94±1.98,17.17±12.82,11.69±9.17,0.44±0.17,7.69±5.26,0.48±0.33,0.08±0.05,0.24±0.14,0.88±0.54,0.02±0.01,0.09±0.07,8.72±3.72,0.62±0.24,3.03±2.47,22.01±10.74,0.25±0.12,1.24±0.53,18.37±8.95,109.93±71.05,1.97±1.19,5.91±4.77,2.86±1.83,1.69±0.98,2.62±0.95,0.11±0.08,2.22±1.53,0.23±0.14,9.87±4.09,0.72±0.45,170.69±105.69,1.17±0.73,79.55±52.49
